word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-9.99026107788086
abhorred,3,ab_hor_red,-13.930559158325195
abolitionist,3,abol_ition_ist,-13.907999515533447
abused,2,ab_used,-11.407146453857422
accepted,2,accept_ed,-10.62350845336914
accompanied,1,accompanied,-12.376392364501953
accosted,3,acc_ost_ed,-16.132287979125977
accountant,2,account_ant,-13.292922019958496
accused,2,acc_used,-12.550010681152344
accuser,2,acc_user,-14.62127685546875
acquitted,2,acqu_itted,-15.447120666503906
acrobat,2,ac_robat,-13.801643371582031
activist,2,activ_ist,-11.261480331420898
actor,1,actor,-11.80133056640625
actress,2,act_ress,-13.623828887939453
actuary,2,act_uary,-13.528514862060547
address,1,address,-11.655006408691406
adjuster,2,adjust_er,-17.329023361206055
admiral,3,ad_mir_al,-12.753229141235352
admired,3,ad_m_ired,-12.697468757629395
admirer,3,ad_mire_r,-12.1302490234375
admonished,3,ad_mon_ished,-13.337148666381836
adopted,2,ad_opted,-10.670051574707031
adored,2,ad_ored,-12.363090515136719
adorned,2,ad_orned,-12.5526123046875
adventurer,3,ad_venture_r,-12.573393821716309
advisor,2,ad_visor,-12.416160583496094
affronted,3,aff_ront_ed,-14.461629867553711
agent,1,agent,-10.722827911376953
aggravated,3,agg_rav_ated,-12.177946090698242
agitated,2,ag_itated,-12.849773406982422
aide,2,a_ide,-13.621219635009766
airplane,2,air_plane,-12.649068832397461
alarmed,2,al_armed,-12.010295867919922
alcohol,1,alcohol,-10.286598205566406
alcoholic,2,alcohol_ic,-11.25999641418457
amateur,2,am_ateur,-9.719223022460938
ambassador,2,amb_assador,-10.986156463623047
amused,2,am_used,-11.395923614501953
analyst,2,an_alyst,-12.727481842041016
anchorman,2,anch_orman,-15.434566497802734
announcer,3,ann_oun_cer,-13.091216564178467
annoyed,3,ann_oy_ed,-11.785692691802979
antagonized,3,ant_agon_ized,-16.14451313018799
anthem,2,ant_hem,-12.992294311523438
anthropologist,2,anthrop_ologist,-14.756193161010742
apartment,2,ap_artment,-11.842098236083984
applauded,4,app_l_aud_ed,-14.412307858467102
appointment,2,app_ointment,-12.495824813842773
appraiser,3,app_ra_iser,-16.956340789794922
apprehended,3,app_rehend_ed,-16.035106658935547
apprentice,2,app_rentice,-12.438779830932617
approached,2,appro_ached,-13.58316421508789
approved,1,approved,-8.983283996582031
archaeologist,3,arch_ae_ologist,-14.124521255493164
architect,2,arch_itect,-9.331790924072266
archivist,2,arch_ivist,-14.581966400146484
aristocrat,2,arist_ocrat,-13.288360595703125
arranged,2,arr_anged,-10.80825424194336
arsonist,2,arson_ist,-16.44738006591797
article,1,article,-10.273468017578125
