sentence id,sentence,PLL score,nr. of tokens
brown.000000,Dan Morgan told himself he would forget Ann Turner.,-122.3350477218628,12
brown.000001,He was well rid of her.,-72.85346126556396,9
brown.000002,He certainly didn't want a wife who was fickle as Ann.,-120.1562066078186,17
brown.000003,"If he had married her, he'd have been asking for trouble.",-104.70633935928345,17
brown.000004,But all of this was rationalization.,-98.73457193374634,10
brown.000005,The best antidote for the bitterness and disappointment that poisoned him was hard work.,-153.33471870422363,18
brown.000006,Each day he found himself thinking less often of Ann.,-117.21022415161133,13
brown.000007,"Each day the hurt was a little duller, a little less poignant.",-151.03779125213623,19
brown.000008,He had plenty of work to do.,-71.32541179656982,10
brown.000009,"Because the summer was unusually dry and hot, the spring produced a smaller stream than in ordinary years.",-191.1747374534607,22
brown.000010,"The grass in the meadows came fast, now that the warm weather was here.",-128.47967100143433,18
brown.000011,He had no idea how much time Budd would give him.,-112.47471523284912,15
brown.000012,It could be some kind of trick Budd had thought up.,-129.07017755508423,15
brown.000013,"Morgan watched the two figures for a time, puzzled.",-132.35622358322144,13
brown.000014,"When they were closer and he saw that one was a woman, he was more puzzled than ever.",-158.36139297485352,22
brown.000015,"He cleaned his shovel, left it against the fence, picked up his Winchester, and started downstream.",-149.6706085205078,23
brown.000016,"His visitors had crawled through the south fence and were crossing the meadow, angling toward the house.",-174.82312726974487,22
brown.000017,"Reaching the house ahead of them, he waited with his Winchester in his hands.",-130.49536609649658,18
brown.000018,"She lay there, making no effort to get back on her feet.",-104.87641763687134,16
brown.000019,"Morgan hesitated, thinking that if this was a trick, it was a good one.",-130.26700019836426,19
brown.000020,He didn't think it was possible for this couple to be pretending.,-102.74608564376831,17
brown.000021,The boy licked his dry lips.,-83.1410903930664,9
brown.000022,"He asked,"" Could we have a drink""??",-84.51670694351196,14
brown.000023,Morgan jerked his head toward the front door.,-84.81700658798218,11
brown.000024,"Leaning his Winchester against the front of the house, he walked to the girl.",-118.12407159805298,18
brown.000025,She didn't move or say anything.,-60.170015811920166,11
brown.000026,Her eyes were glazed as if she didn't hear or even see him.,-121.21977806091309,18
brown.000027,She had reached a point at which she didn't even care how she looked.,-120.47282361984253,19
brown.000028,"She was amazingly light, and so relaxed in his arms that he wasn't even sure she was conscious.",-144.9792356491089,25
brown.000029,Any lingering suspicion that this was a trick Al Budd had thought up was dispelled.,-194.10957860946655,22
brown.000030,No girl would go this far to fool a man so she could kill him.,-140.92467403411865,18
brown.000031,"Besides, she had a sweet face that attracted him.",-108.97981119155884,13
brown.000032,"They looked a good deal alike, Morgan thought.",-108.37970113754272,12
brown.000033,"Both had blonde hair and blue eyes, and there was even a faint similarity of features.",-141.46524477005005,20
brown.000034,"She drank greedily, and murmured,"" Thank you"", as he lowered her head.",-153.84038829803467,22
brown.000035,"He stood looking down at her for a moment, wondering what could have reduced her to this condition.",-147.17221879959106,22
brown.000036,The girl dropped off to sleep.,-78.75949573516846,9
brown.000037,"He brought his Winchester in from the front of the house, then faced the boy.",-118.31689882278442,19
brown.000038,Jones sighed as if relieved.,-99.95415496826172,8
brown.000039,"They might kill him in his sleep, thinking there was money in the house.",-131.66443300247192,18
brown.000040,He dismissed the possibility at once.,-92.10168170928955,9
brown.000041,The girl's thin face haunted him.,-71.22685432434082,11
brown.000042,It wasn't the face of a killer.,-57.82316303253174,12
brown.000043,He wasn't so sure about the boy.,-60.423829078674316,12
brown.000044,"He hadn't shaved for several weeks, his sparse beard giving his face a pathetic, woebegone expression.",-186.3589963912964,27
brown.000045,There was more to this than Jones had told him.,-85.34250783920288,13
brown.000046,They were running from something.,-71.34571933746338,8
brown.000047,"He'd be an idiot to let them stay he thought, but he couldn't send them on, either.",-164.19048261642456,26
brown.000048,"Sharon, she's cooked in a restaurant.",-66.7509994506836,12
brown.000049,"Morgan filled the fire box with wood again, then started supper and set the table.",-172.0384292602539,19
brown.000050,"When the meal was ready, he told Jones to wash up, and going into the front room, woke the girl.",-196.53619575500488,26
brown.000051,"He said,"" I've got some supper ready"".",-84.2281847000122,15
brown.000052,"She rubbed her eyes and stretched, then sat up, her hands going to her hair.",-124.76610565185547,20
brown.000053,This is the Rafter Aj.,-86.36936330795288,10
brown.000054,"You fell down in front of the house, and I carried you in.",-102.18712139129639,17
brown.000055,"She stared at him, her eyes wide as she thought about what he had said.",-117.43261432647705,19
brown.000056,"She got to her feet, staggered, and almost fell.",-82.84919786453247,14
brown.000057,He caught her by an arm and helped her into the kitchen.,-104.3758053779602,15
brown.000058,"She sat down at the table, shaking her head.",-88.86183214187622,13
brown.000059,He told himself he had never seen two people eat so much.,-111.45746278762817,15
brown.000060,"When they were finally satisfied, Jones said,"" I think he's going to give us work"".",-206.38429594039917,24
brown.000061,The grateful way she looked at Morgan made him ashamed of himself.,-109.59888219833374,15
brown.000062,"When he saw the expression in her eyes, he knew he couldn't send them on.",-152.57294130325317,21
brown.000063,"She said,"" I guess the Lord looks out for fools, drunkards, and innocents"".",-160.6036515235901,24
brown.000064,"She helped him with the dishes, then he brought more water in from the spring before it got dark.",-148.16285276412964,23
brown.000065,He carried the tub from the back of the house where it hung from a nail in the wall.,-120.32804346084595,22
brown.000066,"Your feet are in bad shape, Mrs. Jones.",-100.95365381240845,13
brown.000067,"He nodded and, going into the bedroom, brought a needle, thread, and scissors.",-127.89676666259766,22
brown.000068,"He said:"" I'm going to bed"".",-77.82943868637085,14
