Index,Word,log freq,nr. of tokens,tokens,word score
0,a,17.426859945077567,1,a,-6.8963236808776855
1,abandoned,9.500170136485425,1,abandoned,-12.547154426574709
2,abbe,9.598388006047278,2,a_##bbe,-23.4379825592041
3,abduction,7.448333860897476,3,a_##b_##duction,-32.41099166870117
4,ability,9.391411146868483,1,ability,-11.8185396194458
5,abjectly,6.09807428216624,3,a_##bject_##ly,-27.725436210632324
6,able,9.90358754753646,1,able,-10.860190391540527
7,abner,5.988961416889864,2,a_##bner,-22.55091094970703
8,aboard,7.866338923046544,1,aboard,-14.189416885375977
9,abolitionism,6.843749949006225,2,abolition_##ism,-25.78617286682129
10,abolitionists,7.088408778675395,2,abolition_##ists,-25.976980209350582
11,about,10.597734128539374,1,about,-9.66215705871582
12,above,10.882471353748706,1,above,-10.85707187652588
13,abraham,7.047517221357296,3,a_##bra_##ham,-26.14960193634033
14,abroad,9.956506856511764,1,abroad,-12.452489852905272
15,abruptly,6.715383386334681,1,abruptly,-13.106969833374023
16,absence,9.223454011121566,1,absence,-13.82634735107422
17,absent,10.144313838702644,1,absent,-13.259836196899414
18,absolute,9.490544554572004,1,absolute,-13.070653915405272
19,absolutely,7.569411792450712,1,absolutely,-13.11975383758545
20,absorbed,7.914252278742441,1,absorbed,-12.663920402526855
21,abstraction,8.851090687664982,2,abstract_##ion,-25.1047945022583
22,abstractions,7.183111701743281,2,abstract_##ions,-26.600675582885746
23,absurd,10.009962447043131,1,absurd,-13.645540237426758
24,absurdities,6.9930151229329605,2,absurd_##ities,-25.733341217041016
25,absurdity,7.893945138235959,2,absurd_##ity,-23.81420993804932
26,accent,9.791885375954823,1,accent,-13.795125007629396
27,accents,7.1853870155804165,2,accent_##s,-20.924321174621586
28,acceptable,8.827321452697849,1,acceptable,-13.75794792175293
29,accepted,9.757362911053992,1,accepted,-12.292518615722656
30,accepting,7.049254841255837,1,accepting,-13.34235954284668
31,accessories,6.519147287940395,1,accessories,-13.79638385772705
32,accident,10.545815010766098,1,accident,-12.759045600891112
33,accidents,8.71308886823731,1,accidents,-13.899395942687988
34,acclamations,6.866933284461882,4,a_##cc_##lam_##ations,-34.17658519744873
35,accommodation,8.868131713503033,1,accommodation,-13.516016960144045
36,accommodations,7.459914766241105,2,accommodation_##s,-22.9698486328125
37,accompanied,7.044905117129371,1,accompanied,-12.37789249420166
38,accompany,8.62998601889136,1,accompany,-13.35741138458252
39,accomplished,9.155461710466192,1,accomplished,-13.52927589416504
40,accomplishment,8.80926561216931,2,accomplish_##ment,-24.999560356140137
41,accord,11.148319150705216,1,accord,-14.533751487731934
42,accordance,7.052721049232323,1,accordance,-13.408050537109377
43,according,9.972873680021136,1,according,-11.433335304260254
44,accordingly,9.617936541093302,1,accordingly,-14.300308227539062
45,account,11.126306644658424,1,account,-11.38427734375
46,accounted,6.831953565565855,1,accounted,-13.28297519683838
47,accounts,9.528430400599346,1,accounts,-13.085064888000488
48,accoutrements,6.324358962381311,5,a_##cco_##ut_##rem_##ents,-26.258018970489506
49,accruing,6.97354301952014,4,a_##cc_##ru_##ing,-31.00734615325928
50,accuracy,8.92757950384347,1,accuracy,-13.39652156829834
51,accurate,9.19370273082316,1,accurate,-13.079375267028809
52,accurately,7.648739788956242,1,accurately,-13.993904113769531
53,accuse,9.59947282546345,3,a_##cc_##use,-31.22780990600586
54,accustomed,7.643482907077201,1,accustomed,-14.409814834594728
55,ace,12.43625139172538,1,ace,-12.87960720062256
56,achieved,9.379154445411636,1,achieved,-12.31772804260254
57,achievement,9.601436066117046,1,achievement,-14.445068359375
58,achievements,8.436200032206706,1,achievements,-14.339052200317385
59,acknowledge,9.309280319831087,1,acknowledge,-14.080944061279297
60,acknowledged,8.514990767861038,1,acknowledged,-13.42608642578125
61,acknowledgement,7.431299675155903,2,acknowledge_##ment,-25.00267791748047
62,acknowledges,6.943122422819428,2,acknowledge_##s,-23.94042015075684
63,acorn,8.53168763756669,2,a_##corn,-25.76378631591797
64,acquaint,9.69109846411978,4,a_##c_##qua_##int,-32.62730598449707
65,acquaintance,8.778941881841513,1,acquaintance,-14.1622953414917
66,acquainted,7.544332108053688,1,acquainted,-14.230935096740724
67,acquire,9.642447411030767,1,acquire,-13.744348526000977
68,acquires,6.546785410760524,2,acquire_##s,-21.27799892425537
69,across,8.679312040892672,1,across,-10.788674354553224
70,act,13.154993187425957,1,act,-12.609213829040527
71,acting,8.657476736863293,1,acting,-12.705810546875
72,action,11.513845042029612,1,action,-12.037009239196776
73,active,9.50688307286016,1,active,-12.387301445007324
74,actively,6.5998704992128365,1,actively,-14.08907699584961
75,activity,10.589635294075828,1,activity,-12.42311668395996
76,actor,9.884865228408032,1,actor,-12.783315658569336
77,actors,8.708309295891688,1,actors,-13.857282638549805
78,actress,7.779466967458324,1,actress,-12.58212947845459
79,acts,9.946738594530444,1,acts,-13.273795127868652
80,actual,10.11033910707336,1,actual,-13.088249206542969
81,actually,7.3938782901077555,1,actually,-12.026616096496582
82,acute,9.201501423308978,1,acute,-12.984283447265623
83,added,9.66599149499752,1,added,-10.875449180603027
84,additional,7.791935956938058,1,additional,-12.103811264038086
85,address,10.378572002524349,1,address,-12.121315002441406
86,addressed,8.417372856134026,1,addressed,-12.194629669189451
87,addressing,6.856461984594587,1,addressing,-13.776752471923828
88,adherents,7.949797216161852,3,ad_##here_##nts,-31.314093589782715
89,adjust,10.046938334941087,1,adjust,-13.834720611572266
90,administration,10.420821948214943,1,administration,-13.051331520080566
91,admiration,8.914491710191342,1,admiration,-15.245186805725098
92,admired,7.615791072035833,1,admired,-14.239224433898926
93,admiring,7.595889917718538,2,ad_##miring,-31.51986122131348
94,admit,10.68695521229612,1,admit,-12.674006462097168
95,admittance,7.679251425953058,3,admit_##tan_##ce,-27.06199073791504
96,admitted,9.219399216464527,1,admitted,-12.122900009155272
97,admitting,6.833031732786201,1,admitting,-14.460412979125977
98,adolescence,8.3774712482411,3,ad_##ole_##scence,-31.41958332061768
99,adona,7.126890808898808,2,ad_##ona,-31.65569877624512
100,adopted,9.691716587516886,1,adopted,-13.010218620300291
101,adoration,8.152774052744075,2,ad_##oration,-27.748157501220703
102,adore,9.329899607033822,2,ad_##ore,-25.79857444763184
103,advance,10.478892321614516,1,advance,-13.029909133911133
104,advancing,7.167809184316444,1,advancing,-14.282657623291016
105,advantage,10.191744459738752,1,advantage,-13.602596282958984
106,advantages,8.764990330169104,1,advantages,-14.681595802307127
107,adventure,9.526464118059266,1,adventure,-13.35300636291504
108,adverse,8.261784679514752,1,adverse,-13.793211936950684
109,advertisement,8.29154650988391,1,advertisement,-14.115367889404297
110,advertising,9.036938912556788,1,advertising,-13.02561378479004
111,advice,9.477462530462605,1,advice,-12.592584609985352
112,advisable,7.802618063442671,3,ad_##vis_##able,-31.23802280426025
113,advised,8.117312461601975,1,advised,-13.43726921081543
114,adviser,8.698180525197055,1,adviser,-14.543180465698242
115,affair,10.558543381973353,1,affair,-13.638492584228516
116,affairs,10.06496844345823,1,affairs,-12.892817497253418
117,affect,11.243292849923064,1,affect,-13.796015739440918
118,affected,9.601976972147812,1,affected,-12.12974739074707
119,affection,9.846758458290038,1,affection,-13.482954025268556
120,affectionate,7.798523053625206,2,affection_##ate,-25.659473419189453
121,affections,8.002694162283937,2,affection_##s,-23.973308563232425
122,affiliated,6.559615237493242,1,affiliated,-14.20057773590088
123,affirmative,8.474911799159631,5,a_##ff_##ir_##mat_##ive,-26.72031545639038
124,afflicted,7.312553498102598,4,a_##ff_##lic_##ted,-28.2889461517334
125,afford,9.3982297330736,1,afford,-13.351511001586914
126,affrightened,5.988961416889864,4,a_##ff_##right_##ened,-29.4356746673584
127,afloat,7.1308988302963465,3,a_##f_##loat,-31.13167953491211
128,afraid,8.080856419640986,1,afraid,-12.452914237976074
129,african,8.80792062205398,4,a_##f_##rica_##n,-27.103120803833008
130,after,11.773534343495076,1,after,-9.084283828735352
131,afterdeck,6.495265555937008,3,after_##de_##ck,-28.653206825256348
132,afternoon,9.081824949740756,1,afternoon,-13.12928295135498
133,afterward,9.76042516969429,1,afterward,-14.334089279174805
134,afterwards,9.0441677169216,1,afterwards,-12.946358680725098
135,again,11.393094082883946,1,again,-10.044672012329102
136,against,9.513625087655372,1,against,-9.70053482055664
137,agape,8.119993827725105,3,a_##ga_##pe,-24.047088623046875
138,age,12.435790538423513,1,age,-12.221487045288086
139,agency,9.74537068443899,1,agency,-13.150450706481934
140,aggregate,8.587278798982926,1,aggregate,-13.118067741394045
141,aggressive,8.149312843635345,1,aggressive,-14.82456398010254
142,aggressiveness,6.967909201801884,2,aggressive_##ness,-25.610106468200684
143,agitated,7.493317248862145,1,agitated,-15.123973846435549
144,agitation,8.8110561229431,1,agitation,-15.473648071289062
145,ago,11.34761440580968,1,ago,-11.277982711791992
146,agree,11.39306026310952,1,agree,-12.400431632995604
147,agreeable,8.333991247194975,2,agree_##able,-23.28927326202393
148,agreeably,6.590301048196686,2,agree_##ably,-23.87118434906006
149,agreed,9.36383369293329,1,agreed,-11.069059371948242
150,agreement,10.652234989194056,1,agreement,-11.968542098999023
151,ah,12.60334427860981,1,ah,-12.8600492477417
152,ahead,9.265112607823164,1,ahead,-12.279318809509276
153,aid,10.797082676478094,1,aid,-13.853216171264648
