sentence id,ref sentence,PLL score,nr. of tokens
1089-134686-0000,He hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,-312.9777112007141,40
1089-134686-0001,Stuff it into you his belly counselled him.,-97.38749122619629,13
1089-134686-0002,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,-229.60365104675293,26
1089-134686-0003,Hello bertie any good in your mind.,-97.444504737854,12
1089-134686-0004,Number ten fresh nelly is waiting on you good night husband.,-137.18290948867798,15
1089-134686-0005,The music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness.,-263.28250551223755,30
1089-134686-0006,The dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail.,-274.88748598098755,29
1089-134686-0007,A cold lucid indifference reigned in his soul.,-119.22270631790161,15
1089-134686-0008,The chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself.,-171.17986822128296,23
1089-134686-0009,At most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace.,-287.61119508743286,33
1089-134686-0010,Well now ennis i declare you have a head and so has my stick.,-157.1334934234619,18
1089-134686-0011,On saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses.,-357.1026530265808,47
1089-134686-0012,Her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her.,-315.7139320373535,36
1089-134686-0013,If ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight.,-201.3413052558899,31
1089-134686-0014,He tried to think how it could be.,-74.06795835494995,11
1089-134686-0015,But the dusk deepening in the schoolroom covered over his thoughts the bell rang.,-172.22893238067627,19
1089-134686-0016,Then you can ask him questions on the catechism dedalus.,-168.87957763671875,17
1089-134686-0017,Stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying.,-254.68661737442017,33
1089-134686-0018,It was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation.,-344.3461265563965,48
1089-134686-0019,The sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state.,-344.1435203552246,47
1089-134686-0020,If a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune.,-406.7065143585205,57
1089-134686-0021,If a layman in giving baptism pour the water before saying the words is the child baptized.,-170.74841690063477,21
